Percepción (Sentidos)	Espacial	Temporal	Movimiento	Sustancia	Clima	Cuerpo	Feeling	Mente	Comportamiento	Social/Politico	Cantidad	Misc
[PER]	[SPT]	[TMP]	[MOT]	[SUS]	[WEA]	[BODY]	[FEEL]	[MIND]	[BEHA]	[SOC]	[QTY]	[???]
azul	amplia	actual				ágil	aburrido	básica	abierta	alemana	abundante	abandonado
blanca	amplio	antigua				alta	admirable	básico	accesible	alemán	absoluta	académico
blanco		antiguo				altas	alegre	educativa	aceptable	americana	barata	acusada
blancos		antiguos				alto	amable	educativo	aceptado	americano	barato	adoptada
brillante		breve				altos	amarga	espiritual	acertado	argentina	caro	afectada
amarilla		clásica				aterrador	amoroso	inteligente	activa	argentino	costosa	afectado
amarillo		clásico				atractiva	arrogante	formado	activo	brasileña	costoso	aficionado
caliente		moderna				atractivo	aterrador	moral	activos	británica	económica	contratado
gris		moderno				baja	contento	lista	adecuada	británico	económico	ajena
negra		eterna				bajo	contrario	listo	adecuado	catalana	rentable	alternativa
negro		eterno				bajos	cruel	sabio	agradable	catalán		ambiental
roja		joven				bella	delicada	capacitado	agradecido	china		amenazada
rojas		jóvenes				bello	desagradable	coherente	agresiva	chino		amigas
rojo		mayor				bonita	desaparecida	complejo	agresivo	colombiana		artificial
		menor				bonito	divertida	confuso	anormal	danesa		asesinado
		madura				ciega	divertido	cualificada	aplicada	español		ausente
		maduro				ciego	emocionada	cualificado	aplicado	española		biológica
						corta	emocionante	curiosa	aprobada	españoles		biológico
						corto	amistoso	curioso	aprobado	cristiana		caballero
						disminuido	cansada	negativa	apropiada	cristiano		cantante
						enorme	estable	negativo	apropiado	comunista		casada
						fina	felices	positiva	apto	estadounidense		ciclista
						fino	feliz	positivo	arriesgado	europeo		cierta
						física	frágil	modesta	atenta	francesa		cierto
						físico	generosa	loca	atento	francés		común
						flojo	generoso	loco	auténtica	hindú		concedida
						fuerte	genial	motivada	autónoma	hispanos		concreto
						fuertes	gentil	motivado	autónomo	holandesa		condenada
						gigante	relajado	creativa	avanzada	inglés		confidencial
						gorda	triste	crítica	buen	italiana		conforme
						gordo		críticas	buena	italiano		conjunto
						gran		crítico	buenas	japonesa		consciente
