agradable	21
alemán	81
alto	10
amable	24
antiguo	24
asesinado	10
azul	1
bello	6
blanco	48
bueno	31
cercano	9
ciego	13
clásico	1
común	23
confuso	13
conocido	29
correcto	3
desconocido	55
diferente	35
difícil	23
distinto	13
divertido	2
divino	9
duro	17
español	85
este	12
extraño	15
falso	20
famoso	27
feliz	18
femenino	62
francés	117
fuerte	17
fácil	4
físico	3
grande	25
homosexual	6
humano	40
importante	34
inglés	130
inteligente	3
interesante	7
irregular	11
italiano	129
joven	42
libre	5
masculino	54
mayor	85
mejor	5
menor	66
mexicano	4
militar	10
mixto	3
mortal	4
muerto	2
médico	83
negativo	12
negro	40
normal	6
pequeño	25
plural	7
poderoso	15
polaco	32
popular	22
portugués	22
próximo	2
querido	9
raro	12
real	24
reciente	5
rojo	12
ruso	21
rápido	16
soltero	46
sordo	18
sueco	5
suizo	14
tradicional	11
tímido	19
viejo	18
útil	20
2021-09-12 14:49
